sat,tothrs,cumgpa,season,frstsem,crsgpa,verbmath,trmgpa,hssize,hsrank,female,black,white,hsperc,football
950,1,4,1,0,3.039499998,0.826919973,2,715,346,0,0,1,48.39160919,1
1180,0,0,1,1,2.504100084,0.815379977,1.5,771,481,0,0,1,62.38651276,0
1050,27,1.960000038,1,0,2.925899982,0.779659986,2.5,687,314,0,0,1,45.70596695,0
900,58,2.890000105,1,0,3.011600018,0.764710009,3.130000114,132,18,0,0,1,13.63636398,0
490,112,2,1,0,2.791399956,0.75,1.600000024,144,55,1,1,0,38.19444275,0
670,40,2.170000076,1,0,2.816499949,0.861109972,1.5,87,42,0,1,0,48.27586365,1
710,0,0,1,1,2.821000099,1.028570056,1.789999962,117,65,1,1,0,55.55555725,0
900,0,0,1,1,2.808700085,0.800000012,2.210000038,30,17,0,0,1,56.66666794,1
930,55,1.960000038,1,0,2.544800043,1.066669941,0.75,277,50,0,0,1,18.05054092,0
860,39,2.200000048,1,0,2.467900038,0.622640014,2.460000038,259,70,0,0,1,27.02702713,1
830,57,2.210000038,0,0,2.863300085,0.693880022,2.289999962,297,84,0,0,1,28.28282738,0
1400,59,3.74000001,1,0,2.842200041,0.944440007,4,252,1,0,0,1,0.396825403,1
570,52,2.00999999,1,0,2.94810009,0.78125,2.619999886,209,82,1,1,0,39.23445129,0
1130,29,3.369999886,1,0,2.694400072,0.793649971,3.289999962,313,10,0,0,1,3.194888115,1
860,57,2.569999933,0,0,2.703999996,0.791670024,3.200000048,66,21,0,0,1,31.81818199,0
650,84,2.720000029,1,0,3.140599966,0.756760001,3.200000048,234,35,1,1,0,14.9572649,0
1070,69,2.369999886,1,0,2.712300062,0.844829977,3.5,127,25,0,0,1,19.68503952,1
690,103,2.640000105,1,0,2.85890007,0.604650021,2,79,12,0,1,0,15.1898737,1
1200,0,0,1,1,2.888799906,0.621619999,3.380000114,415,14,0,0,1,3.37349391,1
1180,27,3.589999914,0,0,2.366499901,0.71013999,3.5,365,3,1,0,1,0.821917832,0
630,99,2.25,0,0,2.786799908,0.800000012,2.400000095,246,160,0,0,1,65.04064941,0
870,31,1.74000001,1,0,2.876399994,0.74000001,2.619999886,254,73,0,1,0,28.74015808,0
940,49,2.299999952,0,0,2.822900057,0.649119973,2.25,256,58,0,0,1,22.65625,0
610,71,2.25999999,1,0,2.926000118,0.90625,2.25,522,152,0,0,1,29.11877441,1
1110,0,0,1,1,2.675800085,0.947369993,3.220000029,591,10,0,0,1,1.692047358,0
890,112,2.049999952,1,0,2.809400082,0.816330016,1.75,690,420,0,1,0,60.86956406,1
850,93,2.190000057,1,0,3.010299921,0.888890028,1.710000038,572,86,0,0,1,15.03496456,0
1150,41,3.140000105,1,0,2.877300024,0.742420018,3.200000048,673,106,0,0,1,15.75037193,0
810,87,1.929999948,1,0,3.017199993,0.883719981,2.200000048,337,56,0,0,1,16.61721039,1
720,1,4,1,0,2.73390007,0.894739985,1.320000052,584,268,0,1,0,45.89041138,1
1040,56,3.00999999,1,0,2.618200064,0.704919994,2.329999924,172,5,0,0,1,2.9069767,1
1100,0,0,1,1,2.891299963,1,3.210000038,181,30,0,0,1,16.57458496,1
1000,0,0,1,1,2.72480011,0.818180025,2.140000105,154,5,1,1,0,3.246753216,0
980,0,0,1,1,2.460500002,0.849059999,0.939999998,151,30,0,1,0,19.8675499,0
750,95,2.470000029,1,0,3.219700098,1.027029991,3.170000076,30,10,1,0,1,33.33333206,0
820,0,0,1,1,2.418499947,1,1.710000038,35,11,0,0,1,31.4285717,1
900,75,1.929999948,1,0,2.878200054,0.800000012,2.880000114,149,38,0,0,1,25.50335503,0
1040,33,3.059999943,1,0,2.758300066,0.733330011,3.059999943,94,6,1,0,1,6.382978916,0
710,0,0,1,1,2.843800068,0.868420005,1.75,258,129,1,1,0,50,0
1020,92,3.140000105,1,0,2.766200066,0.758620024,3.5,560,32,1,0,1,5.714285851,0
980,91,2.190000057,1,0,2.591500044,0.959999979,2.25,299,42,0,0,1,14.04682255,0
990,0,0,0,1,2.81069994,0.980000019,3.650000095,425,30,1,0,1,7.058823586,0
950,68,2,1,0,2.989300013,0.93878001,2.75,265,43,0,0,1,16.22641563,1
960,95,3.00999999,1,0,3.007600069,0.959179997,2.819999933,10,1,1,0,1,10,0
1100,33,2.390000105,1,0,2.596199989,0.803279996,2.730000019,742,31,0,0,1,4.177897453,0
910,0,0,1,1,2.300299883,0.936169982,3.309999943,139,6,0,0,1,4.316546917,0
680,49,2.220000029,0,0,2.784800053,1,2,658,246,0,0,1,37.38601685,0
1130,0,0,1,1,2.427200079,0.948279977,1.5,87,61,0,0,1,70.11494446,0
1010,29,2,1,0,2.757200003,0.803569973,2.690000057,553,169,0,0,1,30.5605793,0
990,36,2.049999952,1,0,2.782099962,0.706900001,1.730000019,599,253,0,0,1,42.23706055,0
1080,0,0,1,1,2.346299887,0.928569973,1.860000014,640,267,0,0,1,41.71875,0
860,1,4,1,0,2.925400019,0.720000029,1.879999995,373,264,0,0,1,70.77748108,1
790,0,0,0,1,2.385799885,0.926829994,1.820000052,624,285,0,0,1,45.67307663,0
1070,0,0,1,1,2.394999981,0.945450008,1.409999967,361,182,0,0,1,50.41551208,0
850,0,0,1,1,2.580499887,0.888890028,1.639999986,224,191,1,0,0,85.26786041,0
1070,38,3.359999895,1,0,2.626300097,0.945450008,3,481,33,1,1,0,6.860706806,0
840,0,0,1,1,2.526200056,0.953490019,1.730000019,456,149,0,0,1,32.67543793,0
870,59,2.160000086,1,0,2.987799883,1.071429968,2.25,312,230,0,0,1,73.71794891,1
990,28,1.960000038,1,0,2.609100103,0.622950017,1.940000057,500,73,0,0,1,14.60000038,0
710,30,2.099999905,1,0,2.74729991,1.21875,1.580000043,456,182,1,1,0,39.91228104,0
760,0,0,0,1,2.834800005,0.899999976,1.879999995,235,143,0,0,1,60.85106277,0
770,0,0,1,1,2.799799919,0.925000012,2.150000095,512,339,1,0,1,66.2109375,0
890,28,1.919999957,1,0,2.609600067,0.854170024,2.5,718,429,0,0,1,59.74930191,0
910,83,2.130000114,1,0,2.814699888,0.819999993,1.5,595,448,0,0,1,75.29412079,0
1020,63,2.599999905,1,0,2.56069994,0.888890028,2.420000076,10,1,0,0,1,10,0
1060,29,3.579999924,1,0,2.699199915,0.827589989,3,542,72,0,0,1,13.28413296,1
860,0,0,1,1,2.384299994,0.653850019,0.920000017,509,315,0,0,1,61.88605118,1
920,0,0,1,1,2.476799965,0.769230008,2.269999981,509,106,0,0,1,20.82514763,0
910,0,0,1,1,2.391000032,0.625,2.799999952,69,12,1,1,0,17.39130402,0
700,57,2.049999952,1,0,2.925499916,0.666670024,2.5,625,202,0,1,0,32.31999969,0
1170,64,2.210000038,1,0,2.634399891,0.746270001,2.170000076,177,53,0,0,1,29.94350243,1
1010,27,2.440000057,1,0,2.777100086,0.836359978,2.200000048,322,168,0,0,1,52.17391205,0
700,0,0,1,1,2.628700018,0.891889989,2.5,200,80,1,0,0,40,0
